AM,Average,,,,Neutral,,Smiling,,Wow,,Frown,,GCM1,Average,,,Neutral/Smile,,Neutral/Wow,,Neutral/Frown,,GCM2,Average,,,Neutral/Smile,,Neutral/Wow,,Neutral/Frown,
Name/ID,Neutral,Smile,Wow,Frown,Upper,Lower,Upper,Lower,Upper,Lower,Upper,Lower,Name/ID,Neutral/Smile,Neutral/Wow,Neutral/Frown,Upper,Lower,Upper,Lower,Upper,Lower,Name/ID,Neutral/Smile,Neutral/Wow,Neutral/Frown,Upper,Lower,Upper,Lower,Upper,Lower
Marianne,82.68991442,89.87154083,114.9827933,102.860456,82.50705856,83.55576931,97.75258862,83.16073316,68.46172876,155.3047825,64.99553084,135.8844413,Marianne,0.261669788,0.28096709,0.367378062,0.515236749,0.042368633,0.355204068,0.216762136,0.173337006,0.535197354,Marianne,0.004442393,0.006254496,0.003406695,0.006248705,0.002880178,0.003774256,0.008399568,0.002753515,0.003971607
Jayna,120.7893869,92.46777073,97.66083492,108.0937542,153.3939846,93.42860082,66.55117243,115.451594,106.0970855,91.73065175,132.3005132,87.72859568,Jayna,1.077975547,0.756502112,0.344682411,0.614550906,1.478775236,1.289170417,0.295816011,0.485797285,0.222637115,Jayna,0.009966764,0.00480744,0.003501575,0.008547969,0.01119383,0.006983235,0.002925671,0.00389543,0.003160943
Elise,65.31826727,72.80353471,210.8147908,109.2118647,70.98881537,61.25261379,86.44814425,60.56369188,82.52205283,320.963527,137.7529286,85.705301,Elise,0.491415728,0.832388029,0.274435101,0.696394768,0.314136558,1.640930618,0.133107952,0.333400582,0.223437929,Elise,0.013143872,0.008563444,0.00803261,0.003573659,0.021420813,0.011651119,0.005893023,0.010884932,0.005565737
Cara,75.74400349,95.62851991,69.0346333,84.55406643,73.90095252,77.73789453,74.89656987,114.0880789,92.39742985,48.98538669,106.2917382,66.26861896,Cara,0.388881687,0.427892619,0.410257894,0.729131302,0.094611751,0.595977921,0.282521547,0.194835384,0.596569255,Cara,0.004292941,0.008475995,0.004299749,0.002779753,0.005601644,0.011512509,0.00584982,0.002518578,0.005840221
Cindee,125.6775232,79.77065545,93.46850424,203.1482593,175.116944,83.74461368,98.61890506,64.33161341,101.2885431,87.33635507,302.5497768,118.6799009,Cindee,0.341369607,0.752210018,0.686359447,0.647351042,0.076737015,0.36195327,1.089729367,1.294449043,0.160444121,Cindee,0.002995028,0.015100031,0.004205127,0.002811418,0.003153825,0.010904223,0.018728837,0.00407624,0.004316596
Jake,56.7040484,89.23411587,133.2347795,44.53671314,61.2388066,52.68959611,74.63635934,102.5240508,123.9370068,141.3261366,52.19598564,38.01946573,Jake,0.798500098,0.362525674,0.406721025,1.361026702,0.311990603,0.337396737,0.384258809,0.835219578,0.036127682,Jake,0.017466977,0.012503059,0.004485267,0.010554678,0.023445181,0.010575317,0.014170296,0.008701987,0.000838375
Adam,73.68336605,52.48057023,117.938864,89.57931607,85.91027726,62.99784585,47.51016037,56.46236793,85.40531668,146.4522957,66.74770674,109.0976731,Adam,0.461775655,0.082099864,0.468806166,0.907018083,0.076701123,0.107809137,0.059864817,0.86212562,0.128637991,Adam,0.005410727,0.002666264,0.005793378,0.004872848,0.005875921,0.002562339,0.002756145,0.009912279,0.002231085
Katie,55.32721093,85.69658918,107.617454,51.84557457,78.8879062,34.307688,99.9362542,73.87980952,120.0201774,98.2375832,66.62565069,38.80343638,Katie,0.075599983,0.425600111,0.352347395,0.10522568,0.049977759,0.34680557,0.49374674,0.592201285,0.144906192,Katie,0.001671232,0.01265875,0.007613297,0.001331546,0.001965015,0.005286912,0.019034393,0.013924049,0.00215535
Leslie,57.75300286,64.80762928,76.40063589,70.94567447,55.49079136,60.0349721,56.25629563,72.76123004,87.21999906,67.56773454,93.2764749,51.92006554,Leslie,0.545491123,0.43945592,0.854444803,1.010123105,0.143647247,0.3450134,0.521135937,1.755573006,0.07509068,Leslie,0.00588238,0.007999433,0.005727929,0.004931261,0.00670497,0.007530047,0.008405388,0.006320813,0.005215165
Kevin,202.4564591,54.8416906,90.7143274,135.7678776,340.8068815,84.06364542,55.23445699,55.13116186,137.2639036,51.7971943,205.0197657,76.06799855,Kevin,0.648156141,0.368708518,3.195755049,0.613887205,0.677794139,0.215849768,0.500910679,6.604755917,0.247429974,Kevin,0.035997173,0.00369323,0.007565732,0.032607909,0.038928428,0.004669766,0.002848657,0.012706737,0.003119457
Meg,80.03267627,82.01465511,89.16916725,104.4125201,107.2213787,56.06354604,85.59571323,79.11863008,87.25982773,90.95414972,102.5986433,106.7362629,Meg,0.695613553,0.422279806,0.650611889,0.589194679,0.787651497,0.39731514,0.443870869,0.689348169,0.617110241,Meg,0.02793228,0.009968325,0.014170973,0.016755887,0.03759835,0.009983356,0.009955326,0.018336671,0.010568207
Lee,113.1201016,85.45618354,76.3323849,57.41355755,158.4138579,74.57360096,82.6080802,88.01682383,102.04329,54.07879986,57.72929685,57.18910955,Lee,0.324235032,1.071888226,0.86094054,0.46506475,0.202436358,1.904289783,0.351973365,1.655226539,0.173990487,Lee,0.005411629,0.024262694,0.014928179,0.004662791,0.006059273,0.031293388,0.018182094,0.026922663,0.004554572
Megan,35.33267065,57.47933812,133.567373,42.51363442,43.39189949,28.79650127,65.51755481,49.89580997,106.1369038,156.7466959,54.80746177,31.28475774,Megan,0.265775102,0.271152977,0.239986001,0.267196702,0.264545611,0.405325832,0.155111589,0.147445095,0.320021379,Megan,0.005157703,0.007086361,0.004290424,0.001374881,0.008429332,0.006976545,0.007181337,0.003454421,0.005013453
Jay,56.93531533299326,61.79336720474469,112.45311232324589,68.16368507951918,63.741631954075274,51.346582914328856,60.15356427196041,63.605476793338525,105.93629280691337,118.62971403630169,68.73862931371129,67.49145170836405,Jay,0.49111590652876624,0.3049042694247424,0.2811609616757787,0.7672156945187889,0.25232690069955754,0.3412823710097892,0.27344212751335056,0.359095856233856,0.21375780962554972,Jay,0.009218929537136865,0.008901070456322279,0.006966684821433966,0.00418242842149312,0.013574822393909832,0.006287722664734198,0.011161263140939,0.008383575372596283,0.005741265966374665
Barbara,52.891900213602206,106.60032794144854,71.7311220951578,76.46425956443154,64.20371010634952,43.67651624984452,94.22084198118357,117.50842735854955,86.21596594198547,60.18639587423596,87.81007028183075,66.61485927350063,Barbara,0.5145955050723722,0.28534602372723966,0.37368239221920413,0.3667708859280916,0.6424438243322907,0.25809300111154415,0.3089162054489223,0.7380704010100899,0.058536006237897384,Barbara,0.025785871200060553,0.014674925010120615,0.009226034573427945,0.008371381668844468,0.040847051335166355,0.006661797035603118,0.02160519785294656,0.017006021076209583,0.0024973975980492357
MrsBond,54.91939661972587,54.7949903803831,61.53468564195419,41.329729030193654,54.804174389216826,54.95101321646104,53.562206016965746,55.54726855351334,58.317976481572884,64.14904440209003,45.280743352113056,37.88058048190908,MrsBond,0.5032752993813996,0.47873333301832405,0.45871322927321223,0.9787217105307798,0.09207840325220595,0.30797769591310586,0.6264138840282426,0.5844244784142937,0.34998998677281745,MrsBond,0.005816642340609566,0.008737110972250316,0.008010765724501705,0.005120104300064045,0.006419053618919206,0.003631493040281876,0.013152780535033834,0.006454343953417871,0.009356860229222852
Brooke,96.24847207443102,92.75269418789831,224.76997023422408,202.53121398467172,117.98974942181152,77.14543754746407,138.72350400213554,53.410397917500646,114.97281317812433,320.22821408243044,119.98915068357266,273.9983080134732,Brooke,0.33360755662886116,0.8353967829336095,0.3647628184180982,0.5701175650492835,0.12905836015714464,0.43565050795541976,1.1811232910228546,0.6894338899686658,0.08396621599598558,Brooke,0.005581984860703718,0.008386702075798013,0.002368332297114515,0.0032103702172994243,0.007633111038783106,0.0026705563505124304,0.013330395676045003,0.003347108944087248,0.001521822764597558
DA01,159.64459630187443,209.93271838880767,154.68685175212048,407.3954302451662,132.55272583512115,184.3383220135533,128.01405838101235,281.9592382329374,123.33390482689815,182.40571286365258,503.24910802171433,325.92906217730075,DA01,1.3864284608184143,3.2640572758623136,1.462654187557994,0.9449667517993832,1.7682331821321708,6.230711504506494,0.6983022673051836,3.0134722113564685,0.1214061669755291,DA01,0.06852850263582473,0.04277348383353448,0.04234773504945701,0.031673473707692024,0.1004031222493449,0.049428801638710954,0.03701753329932778,0.06782174201326255,0.0203161614591387
